250.00	1000	34.50	4.48	N	N	1
250.00	1001	55.50	3.64	S	E	2
250.00	1002	62.00	3.38	E	E	1
250.00	1003	76.00	2.82	W	N	0
250.00	1004	85.50	2.44	S	S	1
250.00	1005	88.50	2.32	E	S	0
250.00	1006	93.50	2.12	S	W	0
250.00	1007	96.00	2.02	N	W	2
250.00	1008	103.00	1.74	W	W	1
250.00	1009	129.00	0.70	S	W	0
250.00	1010	132.50	0.56	E	S	0
250.00	1011	135.50	0.44	N	E	0
250.00	1012	146.00	0.02	S	S	1
